# file...... eplus_load.csv
# date...... Wed May 24 15:08:54 2023
# user...... root
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 04:03:00 PDT,+48989.991061,+15,+407.483+231.092j
2013-07-01 04:04:00 PDT,+48989.991061,+15,+407.483+231.092j
2013-07-01 04:05:00 PDT,+48989.991061,+15,+407.518+231.113j
2013-07-01 04:06:00 PDT,+48987.3549649,+15.0000001581,+407.547+231.131j
2013-07-01 04:07:00 PDT,+48987.3549647,+15,+407.547+231.131j
2013-07-01 04:08:00 PDT,+48987.3549647,+15,+407.547+231.131j
2013-07-01 04:09:00 PDT,+48987.3549647,+15,+407.547+231.131j
2013-07-01 04:10:00 PDT,+48987.3549647,+15,+407.553+231.134j
2013-07-01 04:11:00 PDT,+48966.4461027,+15,+407.529+231.121j
2013-07-01 04:12:00 PDT,+48966.4461027,+15,+407.529+231.121j
2013-07-01 04:13:00 PDT,+48966.4461027,+15,+407.529+231.121j
2013-07-01 04:14:00 PDT,+48966.4461027,+15,+407.528+231.121j
2013-07-01 04:15:00 PDT,+48966.4461027,+15,+407.496+231.102j
2013-07-01 04:16:00 PDT,+48964.0002554,+15,+407.524+231.119j
2013-07-01 04:17:00 PDT,+48964.0002554,+15,+407.524+231.119j
2013-07-01 04:18:00 PDT,+48964.0002554,+15,+407.524+231.119j
2013-07-01 04:19:00 PDT,+48964.0002554,+15,+407.524+231.119j
2013-07-01 04:20:00 PDT,+48964.0002554,+15,+407.537+231.127j
2013-07-01 04:21:00 PDT,+48961.5550845,+15,+407.574+231.148j
2013-07-01 04:22:00 PDT,+48961.5550845,+15,+407.573+231.148j
2013-07-01 04:23:00 PDT,+48961.5550845,+15,+407.573+231.148j
2013-07-01 04:24:00 PDT,+48961.5550845,+15,+407.573+231.148j
2013-07-01 04:25:00 PDT,+48961.5550845,+15,+407.631+231.182j
2013-07-01 04:26:00 PDT,+48959.1100125,+15,+407.669+231.204j
2013-07-01 04:27:00 PDT,+48959.1100125,+15,+407.669+231.204j
2013-07-01 04:28:00 PDT,+48959.1100125,+15,+407.669+231.204j
2013-07-01 04:29:00 PDT,+48959.1100125,+15,+407.669+231.204j
2013-07-01 04:30:00 PDT,+48959.1100125,+15,+407.684+231.213j
2013-07-01 04:31:00 PDT,+48956.6650697,+15,+407.684+231.213j
2013-07-01 04:32:00 PDT,+48956.6650697,+15,+407.684+231.213j
2013-07-01 04:33:00 PDT,+48956.6650697,+15,+407.684+231.213j
2013-07-01 04:34:00 PDT,+48956.6650697,+15,+407.684+231.213j
2013-07-01 04:35:00 PDT,+48956.6650697,+15,+407.672+231.207j
2013-07-01 04:36:00 PDT,+48954.2199795,+15,+407.71+231.229j
2013-07-01 04:37:00 PDT,+48954.2199795,+15,+407.709+231.229j
2013-07-01 04:38:00 PDT,+48954.2199795,+15,+407.709+231.229j
2013-07-01 04:39:00 PDT,+48954.2199795,+15,+407.709+231.229j
2013-07-01 04:40:00 PDT,+48954.2199795,+15,+407.724+231.237j
2013-07-01 04:41:00 PDT,+48951.774905,+15,+407.606+231.168j
2013-07-01 04:42:00 PDT,+48951.774905,+15,+407.606+231.168j
2013-07-01 04:43:00 PDT,+48951.774905,+15,+407.606+231.168j
2013-07-01 04:44:00 PDT,+48951.774905,+15,+407.606+231.168j
2013-07-01 04:45:00 PDT,+48951.774905,+15,+407.549+231.135j
2013-07-01 04:46:00 PDT,+48949.3296494,+15,+407.514+231.114j
2013-07-01 04:47:00 PDT,+48949.3296494,+15,+407.514+231.114j
2013-07-01 04:48:00 PDT,+48949.3296494,+15,+407.513+231.114j
2013-07-01 04:49:00 PDT,+48949.3296494,+15,+407.512+231.113j
2013-07-01 04:50:00 PDT,+48949.3296494,+15,+407.435+231.068j
2013-07-01 04:51:00 PDT,+48946.884407,+15,+407.507+231.11j
2013-07-01 04:52:00 PDT,+48946.884407,+15,+407.507+231.11j
2013-07-01 04:53:00 PDT,+48946.884407,+15,+407.506+231.11j
2013-07-01 04:54:00 PDT,+48946.884407,+14.9999999907,+407.506+231.11j
2013-07-01 04:55:00 PDT,+48946.884407,+15,+407.585+231.156j
2013-07-01 04:56:00 PDT,+48944.4390089,+15,+407.661+231.201j
2013-07-01 04:57:00 PDT,+48944.4390089,+15,+407.66+231.201j
2013-07-01 04:58:00 PDT,+48944.4390089,+15,+407.66+231.201j
2013-07-01 04:59:00 PDT,+48944.4390089,+15,+407.66+231.201j
2013-07-01 05:00:00 PDT,+48944.4390089,+15,+407.682+231.214j
2013-07-01 05:01:00 PDT,+48941.9936528,+15,+407.568+231.146j
2013-07-01 05:02:00 PDT,+48941.9936528,+15,+407.566+231.145j
2013-07-01 05:03:00 PDT,+48941.9936528,+15,+407.566+231.145j
2013-07-01 05:04:00 PDT,+48941.9936528,+15,+407.566+231.145j
2013-07-01 05:05:00 PDT,+48941.9936528,+15,+407.464+231.086j
2013-07-01 05:06:00 PDT,+48939.5481823,+15.0000002731,+407.399+231.048j
2013-07-01 05:07:00 PDT,+48939.5481828,+15,+407.398+231.047j
2013-07-01 05:08:00 PDT,+48939.5481828,+15,+407.398+231.047j
2013-07-01 05:09:00 PDT,+48939.5481828,+15,+407.398+231.047j
2013-07-01 05:10:00 PDT,+48939.5481828,+15,+407.387+231.04j
2013-07-01 05:11:00 PDT,+79904.7949289,+15,+407.735+228.602j
2013-07-01 05:12:00 PDT,+79904.7949289,+15,+407.735+228.602j
2013-07-01 05:13:00 PDT,+79904.7949289,+15,+407.735+228.602j
2013-07-01 05:14:00 PDT,+79904.7949289,+15,+407.734+228.601j
2013-07-01 05:15:00 PDT,+79904.7949289,+15,+407.627+228.538j
2013-07-01 05:16:00 PDT,+79728.6886865,+15,+407.663+228.574j
2013-07-01 05:17:00 PDT,+79728.6886865,+15,+407.663+228.574j
2013-07-01 05:18:00 PDT,+79728.6886865,+15,+407.663+228.574j
2013-07-01 05:19:00 PDT,+79728.6886865,+15,+407.663+228.574j
2013-07-01 05:20:00 PDT,+79728.6886865,+15,+407.685+228.587j
2013-07-01 05:21:00 PDT,+79564.3512942,+15,+407.723+228.624j
2013-07-01 05:22:00 PDT,+79564.3512942,+15,+407.721+228.623j
2013-07-01 05:23:00 PDT,+79564.3512942,+15,+407.721+228.623j
2013-07-01 05:24:00 PDT,+79564.3512942,+15,+407.721+228.623j
2013-07-01 05:25:00 PDT,+79564.3512942,+15,+407.753+228.642j
2013-07-01 05:26:00 PDT,+79425.2456587,+15,+407.645+228.59j
2013-07-01 05:27:00 PDT,+79425.2456587,+15,+407.645+228.59j
2013-07-01 05:28:00 PDT,+79425.2456587,+15,+407.645+228.59j
2013-07-01 05:29:00 PDT,+79425.2456587,+15,+407.645+228.59j
2013-07-01 05:30:00 PDT,+79425.2456587,+15,+407.558+228.538j
2013-07-01 05:31:00 PDT,+70718.7699517,+15,+407.595+229.304j
2013-07-01 05:32:00 PDT,+70718.7699517,+15,+407.595+229.304j
2013-07-01 05:33:00 PDT,+70718.7699517,+15,+407.595+229.304j
2013-07-01 05:34:00 PDT,+70718.7699517,+15,+407.595+229.304j
2013-07-01 05:35:00 PDT,+70718.7699517,+15,+407.676+229.352j
2013-07-01 05:36:00 PDT,+70590.4673361,+15,+407.635+229.338j
2013-07-01 05:37:00 PDT,+70590.4673361,+15,+407.632+229.337j
2013-07-01 05:38:00 PDT,+70590.4673361,+15,+407.632+229.337j
2013-07-01 05:39:00 PDT,+70590.4673361,+15,+407.632+229.337j
2013-07-01 05:40:00 PDT,+70590.4673361,+15,+407.536+229.28j
2013-07-01 05:41:00 PDT,+70463.8891603,+15,+407.571+229.311j
2013-07-01 05:42:00 PDT,+70463.8891603,+15,+407.571+229.311j
2013-07-01 05:43:00 PDT,+70463.8891603,+15,+407.569+229.311j
2013-07-01 05:44:00 PDT,+70463.8891603,+15,+407.569+229.311j
2013-07-01 05:45:00 PDT,+70463.8891603,+15,+407.625+229.344j
2013-07-01 05:46:00 PDT,+70337.9868772,+15,+407.581+229.328j
